#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 3509.6855     1.273207e-01
 3513.7297     2.087854e-01
 3517.7739     7.361747e-01
 3521.8181     5.706294e-01
 3525.8622     4.085327e-01
 3529.9064     4.833544e-01
 3533.9506     4.196309e-01
 3537.9948     1.985003e-01
 3542.0389     2.699306e-01
 3546.0831     1.527456e-01
 3550.1273     2.377385e-01
 3554.1715     1.355178e-01
 3558.2157     3.780200e-01
 3562.2598     1.223702e-01
 3566.3040     3.873143e-01
 3570.3482     3.388518e-01
 3574.3924     5.126558e-01
 3578.4366     3.453917e-01
 3582.4807     2.495269e-01
 3586.5249     2.650433e-01
 3590.5691     2.153504e-01
 3594.6133     3.339216e-01
 3598.6574     3.497669e-01
 3602.7016     4.886335e-01
 3606.7458     4.724907e-01
 3610.7900     4.904342e-01
 3614.8342     4.188595e-01
 3618.8783     4.179572e-01
 3622.9225     3.138505e-01
 3626.9667     3.850278e-01
 3631.0109     2.527177e-01
 3635.0550     5.279726e-01
 3639.0992     3.942682e-01
 3643.1434     4.234963e-01
 3647.1876     1.921254e-01
 3651.2318     3.204032e-01
 3655.2759     4.024561e-01
 3659.3201     3.995879e-01
 3663.3643     3.545082e-01
 3667.4085     5.123900e-01
 3671.4526     3.972701e-01
 3675.4968     5.359069e-01
 3679.5410     4.166502e-01
 3683.5852     4.468100e-01
 3687.6294     4.371385e-01
 3691.6735     3.357273e-01
 3695.7177     3.269394e-01
 3699.7619     3.961336e-01
 3703.8061     4.627244e-01
 3707.8502     4.845617e-01
 3711.8944     4.610400e-01
 3715.9386     4.640336e-01
 3719.9828     4.082454e-01
 3724.0270     3.926026e-01
 3728.0711     3.780151e-01
 3732.1153     5.119816e-01
 3736.1595     3.733403e-01
 3740.2037     4.381980e-01
 3744.2478     3.048399e-01
 3748.2920     3.416033e-01
 3752.3362     4.071280e-01
 3756.3804     4.154912e-01
 3760.4246     3.178683e-01
 3764.4687     4.032276e-01
 3768.5129     4.068636e-01
 3772.5571     3.157500e-01
 3776.6013     3.618148e-01
 3780.6455     4.643475e-01
 3784.6896     4.953827e-01
 3788.7338     5.025320e-01
 3792.7780     4.758940e-01
 3796.8222     3.883197e-01
 3800.8663     4.808720e-01
 3804.9105     4.511309e-01
 3808.9547     4.355158e-01
 3812.9989     4.741292e-01
 3817.0431     5.039369e-01
 3821.0872     4.149406e-01
 3825.1314     3.894119e-01
 3829.1756     4.129246e-01
 3833.2198     3.987734e-01
 3837.2639     2.612391e-01
 3841.3081     3.225692e-01
 3845.3523     3.129684e-01
 3849.3965     3.442258e-01
 3853.4407     4.083298e-01
 3857.4848     5.174754e-01
 3861.5290     5.157775e-01
 3865.5732     4.870797e-01
 3869.6174     4.785101e-01
 3873.6615     4.821388e-01
 3877.7057     4.384303e-01
 3881.7499     3.718025e-01
 3885.7941     4.309799e-01
 3889.8383     3.739799e-01
 3893.8824     3.449079e-01
 3897.9266     4.178385e-01
 3901.9708     4.536012e-01
 3906.0150     4.759443e-01
 3910.0591     5.891900e-01
 3914.1033     5.550583e-01
 3918.1475     5.656668e-01
 3922.1917     5.304778e-01
 3926.2359     4.785918e-01
 3930.2800     4.518231e-01
 3934.3242     3.584372e-01
 3938.3684     3.389025e-01
 3942.4126     3.025850e-01
 3946.4567     3.669679e-01
 3950.5009     4.753882e-01
 3954.5451     4.615449e-01
 3958.5893     4.965450e-01
 3962.6335     5.086516e-01
 3966.6776     4.475131e-01
 3970.7218     3.807276e-01
 3974.7660     3.731214e-01
 3978.8102     4.266745e-01
 3982.8544     4.748955e-01
 3986.8985     5.029861e-01
 3990.9427     5.997028e-01
 3994.9869     6.693157e-01
 3999.0311     6.527724e-01
 4003.0752     6.386335e-01
 4007.1194     5.916069e-01
 4011.1636     6.427599e-01
 4015.2078     6.829158e-01
 4019.2520     7.102060e-01
 4023.2961     7.418709e-01
 4027.3403     7.296146e-01
 4031.3845     7.030782e-01
 4035.4287     6.703373e-01
 4039.4728     6.762962e-01
 4043.5170     6.595420e-01
 4047.5612     7.315941e-01
 4051.6054     6.918101e-01
