Wavelength[Angstrom];Normalized Flux[Counts]
3650.00;0.000044
3652.00;0.581906
3654.00;0.643445
3656.00;0.683614
3658.00;0.701406
3660.00;0.729011
3662.00;0.722316
3664.00;0.724334
3666.00;0.709018
3668.00;0.712045
3670.00;0.694436
3672.00;0.619004
3674.00;0.645141
3676.00;0.669720
3678.00;0.726535
3680.00;0.710302
3682.00;0.659815
3684.00;0.628725
3686.00;0.653625
3688.00;0.686641
3690.00;0.638905
3692.00;0.559025
3694.00;0.537518
3696.00;0.630743
3698.00;0.671004
3700.00;0.677424
3702.00;0.591215
3704.00;0.560813
3706.00;0.563610
3708.00;0.661512
3710.00;0.693519
3712.00;0.702002
3714.00;0.670637
3716.00;0.698838
3718.00;0.683523
3720.00;0.614418
3722.00;0.529310
3724.00;0.477035
3726.00;0.542746
3728.00;0.640143
3730.00;0.663529
3732.00;0.615702
3734.00;0.547744
3736.00;0.611437
3738.00;0.821823
3740.00;1.029045
3742.00;1.309223
3744.00;1.409830
3746.00;1.368239
3748.00;1.081137
3750.00;0.785643
3752.00;0.666143
3754.00;0.622810
3756.00;0.641931
3758.00;0.633219
3760.00;0.661604
3762.00;0.620425
3764.00;0.578238
3766.00;0.510234
3768.00;0.556503
3770.00;0.652708
3772.00;0.775417
3774.00;0.840441
3776.00;0.825813
3778.00;0.793026
3780.00;0.749601
3782.00;0.686320
3784.00;0.654817
3786.00;0.614326
3788.00;0.629642
3790.00;0.702920
3792.00;0.781241
3794.00;0.822924
3796.00;0.820814
3798.00;0.852225
3800.00;0.881802
3802.00;0.836910
3804.00;0.777802
3806.00;0.698609
3808.00;0.648443
3810.00;0.610245
3812.00;0.568838
3814.00;0.563335
3816.00;0.559804
3818.00;0.613226
3820.00;0.662521
3822.00;0.683523
3824.00;0.694024
3826.00;0.809121
3828.00;0.948614
3830.00;0.984244
3832.00;0.955722
3834.00;0.894229
3836.00;0.885425
3838.00;0.859516
3840.00;0.819026
3842.00;0.776930
3844.00;0.712733
3846.00;0.643628
3848.00;0.624415
3850.00;0.582640
3852.00;0.536418
3854.00;0.540820
3856.00;0.588418
3858.00;0.652524
3860.00;0.669720
3862.00;0.768906
3864.00;0.889735
3866.00;0.922843
3868.00;0.872219
3870.00;0.857912
3872.00;0.918303
3874.00;0.958840
3876.00;0.967827
3878.00;0.963700
3880.00;0.955309
3882.00;0.915323
3884.00;0.928438
3886.00;0.925915
3888.00;0.957602
3890.00;0.897714
3892.00;0.893037
3894.00;0.860617
3896.00;0.852913
3898.00;0.802931
3900.00;0.730433
3902.00;0.686916
3904.00;0.643903
3906.00;0.662842
3908.00;0.677240
3910.00;0.745336
3912.00;0.804306
3914.00;0.837735
3916.00;0.839707
3918.00;0.857132
3920.00;0.947422
3922.00;0.972000
3924.00;0.955401
3926.00;0.932610
3928.00;0.931143
3930.00;0.934628
3932.00;0.893908
3934.00;0.863414
3936.00;0.868321
3938.00;0.882903
3940.00;0.912617
3942.00;0.908307
3944.00;0.875612
3946.00;0.817329
3948.00;0.751802
3950.00;0.701131
3952.00;0.676507
3954.00;0.695124
3956.00;0.740108
3958.00;0.837919
3960.00;0.897531
3962.00;0.918624
3964.00;0.905739
3966.00;0.901933
3968.00;0.896201
3970.00;0.896430
3972.00;0.901612
3974.00;0.930226
3976.00;0.908903
3978.00;0.833516
3980.00;0.772620
3982.00;0.684806
3984.00;0.646334
3986.00;0.626616
3988.00;0.629734
3990.00;0.670224
3992.00;0.686136
3994.00;0.769227
3996.00;0.823932
3998.00;0.892120
4000.00;0.930226
4002.00;0.933436
4004.00;0.959528
4006.00;1.001302
4008.00;1.080220
4010.00;1.088932
4012.00;1.086043
4014.00;1.108604
4016.00;1.102643
4018.00;1.086043
4020.00;1.053119
4022.00;1.080128
4024.00;1.104615
4026.00;1.109613
4028.00;1.106724
4030.00;1.095444
4032.00;1.085722
4034.00;1.077835
4036.00;1.093930
4038.00;1.104340
4040.00;1.098608
4042.00;1.090124
4044.00;1.088611
4046.00;1.087006
4048.00;1.085539
4050.00;1.084026
4052.00;1.082512
4054.00;1.080907
4056.00;1.079211
4058.00;1.123232
4060.00;1.088840
4062.00;1.057705
4064.00;1.111814
4066.00;1.118142
4068.00;1.153818
4070.00;1.138915
4072.00;1.125112
4074.00;1.103514
4076.00;1.118509
4078.00;1.188714
4080.00;1.161843
4082.00;1.086731
4084.00;1.029320
4086.00;1.084622
4088.00;1.150837
4090.00;1.152442
4092.00;1.110622
4094.00;1.074534
4096.00;1.064537
4098.00;1.061006
4100.00;1.042114
4102.00;1.079303
4104.00;1.062932
4106.00;1.057200
4108.00;0.986216
4110.00;0.968240
4112.00;0.938342
4114.00;0.905418
4116.00;0.876712
4118.00;0.877125
4120.00;0.881940
4122.00;0.894046
4124.00;0.888405
4126.00;0.902025
4128.00;0.889827
4130.00;0.909637
4132.00;0.943616
4134.00;1.018727
4136.00;1.081825
4138.00;1.111631
4140.00;1.093839
4142.00;1.071415
4144.00;1.044406
4146.00;1.034043
4148.00;1.018911
4150.00;1.025422
4152.00;1.031017
4154.00;1.052018
4156.00;1.073341
4158.00;1.059034
4160.00;0.971817
4162.00;0.909316
4164.00;0.940819
4166.00;1.044315
4168.00;1.089528
4170.00;1.100625
4172.00;1.090445
4174.00;1.107137
